name,serialized_value,created_at,updated_at
ACCOUNT_EMAILS_LIMIT,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: 100\n""",2026-06-18 16:26:15.044321,2026-06-18 16:26:15.044321
ACCOUNT_EMAILS_PLAN_LIMITS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.046402,2026-06-18 16:26:15.046402
ACCOUNT_LEVEL_FEATURE_DEFAULTS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: inbound_emails\n  display_name: Inbound Emails\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: channel_email\n  display_name: Email Channel\n  enabled: true\n  help_url: https://chwt.app/hc/email\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: channel_facebook\n  display_name: Facebook Channel\n  enabled: true\n  help_url: https://chwt.app/hc/fb\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: conversation_unread_counts\n  display_name: Conversation Unread Counts\n  enabled: false\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: ip_lookup\n  display_name: IP Lookup\n  enabled: false\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: disable_branding\n  display_name: Disable Branding\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: email_continuity_on_api_channel\n  display_name: Email Continuity on API Channel\n  enabled: false\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: help_center\n  display_name: Help Center\n  enabled: true\n  help_url: https://chwt.app/hc/help-center\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: agent_bots\n  display_name: Agent Bots\n  enabled: true\n  help_url: https://chwt.app/hc/agent-bots\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: macros\n  display_name: Macros\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: agent_management\n  display_name: Agent Management\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: team_management\n  display_name: Team Management\n  enabled: true\n  help_url: https://chwt.app/hc/teams\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: inbox_management\n  display_name: Inbox Management\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: labels\n  display_name: Labels\n  enabled: true\n  help_url: https://chwt.app/hc/labels\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: custom_attributes\n  display_name: Custom Attributes\n  enabled: true\n  help_url: https://chwt.app/hc/custom-attributes\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: automations\n  display_name: Automations\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: canned_responses\n  display_name: Canned Responses\n  enabled: true\n  help_url: https://chwt.app/hc/canned\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: integrations\n  display_name: Integrations\n  enabled: true\n  help_url: https://chwt.app/hc/integrations\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: voice_recorder\n  display_name: Voice Recorder\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: report_rollup\n  display_name: Report Rollup\n  enabled: false\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: channel_website\n  display_name: Website Channel\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: campaigns\n  display_name: Campaigns\n  enabled: true\n  help_url: https://chwt.app/hc/campaigns\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: reports\n  display_name: Reports\n  enabled: true\n  help_url: https://chwt.app/hc/reports\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: crm\n  display_name: CRM\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: auto_resolve_conversations\n  display_name: Auto Resolve Conversations\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: custom_reply_email\n  display_name: Custom Reply Email\n  enabled: false\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: custom_reply_domain\n  display_name: Custom Reply Domain\n  enabled: false\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: audit_logs\n  display_name: Audit Logs\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: custom_tools\n  display_name: Custom Tools\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: message_reply_to\n  display_name: Message Reply To\n  enabled: false\n  deprecated: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: insert_article_in_reply\n  display_name: Insert Article in Reply\n  enabled: false\n  deprecated: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: inbox_view\n  display_name: Inbox View\n  enabled: false\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: sla\n  display_name: SLA\n  enabled: false\n  premium: true\n  help_url: https://chwt.app/hc/sla\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: help_center_embedding_search\n  display_name: Help Center Embedding Search\n  enabled: false\n  premium: true\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: linear_integration\n  display_name: Linear Integration\n  enabled: false\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: captain_integration\n  display_name: Captain\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: custom_roles\n  display_name: Custom Roles\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: chatwoot_v4\n  display_name: Chatwoot V4\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: captain_v1_action_classifier\n  display_name: Captain V1 Action Classifier\n  enabled: false\n  premium: true\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: contact_chatwoot_support_team\n  display_name: Contact Chatwoot Support Team\n  enabled: true\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: shopify_integration\n  display_name: Shopify Integration\n  enabled: false\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: search_with_gin\n  display_name: Search messages with GIN\n  enabled: false\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: channel_instagram\n  display_name: Instagram Channel\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: crm_integration\n  display_name: CRM Integration\n  enabled: false\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: channel_voice\n  display_name: Voice Channel\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: notion_integration\n  display_name: Notion Integration\n  enabled: false\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: captain_integration_v2\n  display_name: Captain V2\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: whatsapp_embedded_signup\n  display_name: WhatsApp Embedded Signup\n  enabled: false\n  deprecated: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: whatsapp_campaign\n  display_name: WhatsApp Campaign\n  enabled: false\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: crm_v2\n  display_name: CRM V2\n  enabled: false\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: assignment_v2\n  display_name: Assignment V2\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: captain_document_auto_sync\n  display_name: Captain Document Auto Sync\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: advanced_search\n  display_name: Advanced Search\n  enabled: false\n  premium: true\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: saml\n  display_name: SAML\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: advanced_search_indexing\n  display_name: Advanced Search Indexing\n  enabled: false\n  premium: true\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: reply_mailer_migration\n  display_name: Reply Mailer Migration\n  enabled: false\n  chatwoot_internal: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: quoted_email_reply\n  display_name: Quoted Email Reply\n  enabled: false\n  deprecated: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: companies\n  display_name: Companies\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: channel_tiktok\n  display_name: TikTok Channel\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: csat_review_notes\n  display_name: CSAT Review Notes\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: captain_tasks\n  display_name: Captain Tasks\n  enabled: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: conversation_required_attributes\n  display_name: Required Conversation Attributes\n  enabled: false\n  premium: true\n- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  name: advanced_assignment\n  display_name: Advanced Assignment\n  enabled: false\n  premium: true\n""",2026-06-18 16:26:15.250716,2026-06-18 16:26:15.250716
ACCOUNT_SECURITY_NOTIFICATION_WEBHOOK_URL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.131273,2026-06-18 16:26:15.131273
API_CHANNEL_NAME,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.135574,2026-06-18 16:26:15.135574
API_CHANNEL_THUMBNAIL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.137636,2026-06-18 16:26:15.137636
AZURE_APP_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.070713,2026-06-18 16:26:15.070713
AZURE_APP_SECRET,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.072929,2026-06-18 16:26:15.072929
BLOCKED_EMAIL_DOMAINS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.113602,2026-06-18 16:26:15.113602
BRAND_NAME,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: Chatwoot\n""",2026-06-18 16:26:15.013247,2026-06-18 16:26:15.013247
